"Station.ID","Test.Number","Project.Code","Sample.ID","First.Trigger.Date","Collection_Date","Sample.Type.New","Collection.Method","Depth","Depth.Unit","Matrix","Test.Name","Storet.Code","Method","Measure.Date","Value","Sigfig.Value","Uncertainty","MDL","PQL","RDL","Units","Remark.Code","Flag","Receive.Date","LIMS.Number","Collection.Agency","Source","Owner","Validation.Level","Validator","Sampling.Purpose","Data.Investigation","T.Depth","Upper.Depth","Lower.Depth","DCS.METERS.","Filtration.Date","Sample.Type","QC.Type","Discharge","Up.Down.Stream","Weather.Code","Program.Type","NDEC","Sample.Comments","Result.Comments"
"CES02",99,"CESWQ","P91019-9",NA,2018-01-23 09:37:00,"SAMP","G",0.5,"m","SA","DEPTH, TOTAL",82903,"SFWMD-FSQM","23-JAN-2018 09:37",2.3,2.3,"",NA,NA,NA,"SDU","",NA,"24-JAN-2018 10:31","62437009","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",2,"Early ebb. Clouds. Light rain. Wind SE 10 kts. Calm",NA
"CES02",179,"CESWQ","P87452-8",NA,2017-06-21 12:43:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","27-JUN-2017 23:45",5.6,5.6,"+/- 0.376",0.018,0.071,0.018,"ug/L","",NA,"22-JUN-2017 10:36","59215008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"22-JUN-2017 15:09",3,NA,0,0,0,"MON",NA,"S wind 10mph, overcast",NA
"CES02",13,"CESWQ","P59344-2",NA,2013-02-25 15:36:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","26-FEB-2013 14:18",73,73,"+/- 8",1,4,1,"PCU","",NA,"26-FEB-2013 11:45","37514002","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,2,"MON",0,"Hazy, SSE wind 10-15, calm, slack high tide, tannin-stained water",NA
"CES02",61,"CESWQ","P32632-25",NA,2008-06-18 12:15:00,"SAMP","G",0.5,"","SA","CHLOROPHYLL-A",49128,"SM10200H","08-JUL-2008 15:38",21,21,"",1,4,1,"mg/m^3","",NA,"19-JUN-2008 10:16","3433025","FWEC","WMD","WMD",2,"WMD","BA","NO",2.8,NA,NA,NA,"",3,NA,1,0,5,"MON",1,"Sample: Dark Yellow   PAR: Overcast, Last Reading 1.7 m   Site: No Visable BGA",NA
"CES02",98,"CESWQ","P92909-9",NA,2018-04-18 09:21:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"SFWMD-FSQM","18-APR-2018 09:28",2.94,2.9,"",NA,NA,NA,"PSU","",NA,"19-APR-2018 10:38","64103009","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Calm. Clear. Still. 80s. Ebb. [FKPAR] cancelled.",NA
"CES02",12,"CESWQ","P48237-1",NA,2010-08-31 07:50:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","02-SEP-2010 07:37",1.1,1.1,"",0.1,0.4,0.1,"NTU","",NA,"01-SEP-2010 10:39","23019001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",1,"Low flow at station.  No chop.  Wind 0-5 mph.  Sample medium yellowish brown, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",98,"CESWQ","P104394-9",NA,2019-05-15 08:20:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"SFWMD-FSQM","15-MAY-2019 08:22",0.6,0.6,"",NA,NA,NA,"PSU","",NA,"16-MAY-2019 10:18","70498009","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Calm, slack tide. Cloudy, little to no wind 1-2 mph, temperature in mid-70s F.",NA
"CES02",11,"CESWQ","P77519-8",NA,2015-11-17 13:14:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",78,"SFWMD-FSQM","17-NOV-2015 13:14",0.7,0.7,"",NA,NA,NA,"meters","",NA,"18-NOV-2015 12:13","50765008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,4,"MON",2,"Wind E 12-14, mod chop, slack tide",NA
"CES02",13,"CESWQ","P46636-1",NA,2009-12-22 09:10:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","23-DEC-2009 15:05",58,58,"",1,4,1,"PCU","",NA,"23-DEC-2009 12:52","20850001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,4,"MON",0,"Low flow at station.  No chop.  Wind 0-5 mph.  Sample light yellowish brown, low solids.  PAR:  Overcast sky, 25% sun, 75% cloud cover.",NA
"CES02",99,"CESWQ","P50598-1",NA,2010-12-21 08:30:00,"SAMP","G",0.5,"m","SA","DEPTH, TOTAL",NA,"","",4.3,4.3,"",NA,NA,NA,"SDU","",NA,"","26058001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",2,"Very low outgoing flow at station.  No chop.  Wind 0-5 mph.  Sample light yellow, very low solids.    PAR:   Clear sky, 100% sun, collection time 0842.",NA
"CES02",179,"CESWQ","P87451-8",NA,2017-05-16 14:20:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","05-JUN-2017 17:20",11.5,11.5,"+/- 0.771",0.018,0.071,0.018,"ug/L","",NA,"17-MAY-2017 10:54","59214008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"17-MAY-2017 14:34",3,NA,0,0,2,"MON",NA,"Light chop, outgoing tide, partly cloudy skies, winds ESE 10-15kts, K value 1.28, R sqr 0.99",NA
"CES02",11,"CESWQ","P51507-1",NA,2011-05-18 14:25:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",NA,"","",1.4,1.4,"",NA,NA,NA,"meters","",NA,"","27276001","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,2,"MON",2,"",NA
"CES02",12,"CESWQ","P47865-1",NA,2010-05-25 08:00:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","27-MAY-2010 07:05",2.4,2.4,"",0.1,0.4,0.1,"NTU","",NA,"26-MAY-2010 10:35","22555001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",1,"Very low outgoing flow at station.  No chop.  No wind.  Sample light yellow, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",11,"CESWQ","P71120-8",NA,2014-05-07 12:38:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",NA,"","",1.4,1.4,"+/- 0.156",NA,NA,NA,"meters","",NA,"","46096008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,2,"MON",2,"SE wind at 5-10 gusting to 15. Light chop. Ebb tide.",NA
"CES02",179,"CESWQ","P87096-9",NA,2017-01-11 13:39:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","23-JAN-2017 18:27",7.44,7.44,"+/- 0.797",0.036,0.142,0.036,"ug/L","",NA,"12-JAN-2017 14:25","58934009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"12-JAN-2017 15:27",3,NA,0,0,3,"MON",NA,"Slight chop. Early flood tide. Low turbidity.",NA
"CES02",12,"CESWQ","P55418-1",NA,2012-08-01 12:29:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","03-AUG-2012 07:21",2.1,2.1,"+/- 0.2",0.1,0.4,0.1,"NTU","",NA,"02-AUG-2012 09:09","32386001","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"light sw winds slack tide light chop mid 80s med overcast",NA
"CES02",12,"CESWQ","P110994-2",NA,2020-03-12 09:08:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","13-MAR-2020 14:12",2.5,2.5,"+/- 0.1",0.1,0.4,0.1,"NTU","",NA,"13-MAR-2020 09:56","73236002","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Slack tide. Calm conditions. Calm wind. Partly cloudy with sunshine. Temp mid 70's.",NA
"CES02",11,"CESWQ","P93633-8",NA,2018-06-26 08:39:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",78,"SFWMD-FSQM","26-JUN-2018 08:39",0.45,0.45,"",NA,NA,NA,"meters","",NA,"27-JUN-2018 09:36","64835008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",2,"BGA bloom present in water column mostly on surface. Calm waters. Outgoing tide. Clear skies, winds light W 5-8 kts, temperature in the upper 80's.",NA
"CES02",16,"CESWQ","P107670-9",NA,2019-08-21 09:25:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM2540D","22-AUG-2019 13:20",-3,-3,"+/- 3",3,12,3,"mg/L","U",NA,"22-AUG-2019 09:36","71919009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Calm, outgoing tide, mostly sunny, wind 1-3 mph, temperature in mid 80s F. P107719 is associated with this trip.",NA
"CES02",13,"CESWQ","P114997-9",NA,2020-02-19 07:38:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","20-FEB-2020 14:27",45,45,"+/- 8",1,4,1,"PCU","",NA,"20-FEB-2020 09:19","75023009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",0,"Outgoing tide. Calm water. Mostly cloudy sky. Little to no wind. Fine particulates suspended in water column.",NA
"CES02",13,"CESWQ","P87449-8",NA,2017-02-14 14:25:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","15-FEB-2017 15:58",48,48,"+/- 9",1,4,1,"PCU","",NA,"15-FEB-2017 09:05","59212008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",0,"",NA
"CES02",61,"CESWQ","P51505-1",NA,2011-02-09 13:54:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A",49128,"SM10200H","17-FEB-2011 10:51",9,9,"",1,4,1,"mg/m^3","",NA,"10-FEB-2011 12:34","27272001","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",1,"",NA
"CES02",13,"CESWQ","P55415-8",NA,2012-05-08 12:39:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","09-MAY-2012 14:18",31,31,"",1,4,1,"PCU","",NA,"09-MAY-2012 10:07","32384008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",0,"",NA
"CES02",98,"CESWQ","P49722-1",NA,2010-09-29 08:30:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"","29-SEP-2010 08:31",0.18,0.2,"",NA,NA,NA,"PSU","",NA,"30-SEP-2010 10:43","24898001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,4,"MON",1,"Low flow at station.  Very low chop.  Wind 5-10 mph.  Sample medium yellow, low solids.  PAR:  Overcast, 100% cloud cover.  NOTE:  PARAMETERS NOT INCLUDED IN HFDM.  PH:7.68, DO:5.58, COND:431, TEMP:26.26, SAL:0.19 @ 0831.",NA
"CES02",16,"CESWQ","P55415-8",NA,2012-05-08 12:39:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM 2540 D","10-MAY-2012 09:30",4,4,"",3,12,3,"mg/L","I",NA,"09-MAY-2012 10:07","32384008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"",NA
"CES02",99,"CESWQ","P82646-8",NA,2016-03-08 14:00:00,"SAMP","G",0.5,"m","SA","DEPTH, TOTAL",82903,"SFWMD-FSQM","08-MAR-2016 14:00",3.4,3.4,"",NA,NA,NA,"SDU","",NA,"09-MAR-2016 11:27","55164008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",2,"Rippled surface, slight incoming tide, SE wind at 5 and gusting. K value: 2.10",NA
"CES02",12,"CESWQ","P46500-2",NA,2010-01-26 08:40:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","28-JAN-2010 07:44",3.7,3.7,"",0.1,0.4,0.1,"NTU","",NA,"27-JAN-2010 12:08","20669002","FWEC","WMD","WMD",2,"WMD","BA","CA",NA,NA,NA,NA,"",0,NA,1,0,1,"MON",1,"Low flow at station.  No chop.  No wind.  Sample light yellow, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",11,"CESWQ","P88416-9",NA,2017-07-12 13:54:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",78,"SFWMD-FSQM","12-JUL-2017 13:54",0.7,0.7,"",NA,NA,NA,"meters","",NA,"13-JUL-2017 10:43","60100009","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",2,"Still tide, flat surface, no wind. K value:2.35 R-square:1.0",NA
"CES02",16,"CESWQ","P88416-9",NA,2017-07-12 13:54:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM2540D","13-JUL-2017 11:49",4,4,"+/- 3",3,12,3,"mg/L","I",NA,"13-JUL-2017 10:43","60100009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Still tide, flat surface, no wind. K value:2.35 R-square:1.0",NA
"CES02",11,"CESWQ","P60167-2",NA,2012-12-18 13:46:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",NA,"","",0.8,0.8,"+/- 0.160",NA,NA,NA,"meters","",NA,"","38082002","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",2,"",NA
"CES02",11,"CESWQ","P68684-9",NA,2014-03-05 07:53:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",NA,"","",1.3,1.3,"+/- 6",NA,NA,NA,"meters","",NA,"","44334009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",2,"Glassy surface.  No visible tidal fluctuations and clear skies.",NA
"CES02",13,"CESWQ","P48237-1",NA,2010-08-31 07:50:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","01-SEP-2010 14:27",126,126,"",1,4,1,"PCU","",NA,"01-SEP-2010 10:39","23019001","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",0,"Low flow at station.  No chop.  Wind 0-5 mph.  Sample medium yellowish brown, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",179,"CESWQ","P51506-1",NA,2011-04-21 12:50:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","12-MAY-2011 16:04",3.6,3.6,"",0.067,0.266,0.067,"ug/L","",NA,"22-APR-2011 11:36","27274001","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",NA,"Wind calm, low tide",NA
"CES02",16,"CESWQ","P110991-3",NA,2019-10-22 09:00:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM2540D","23-OCT-2019 11:08",-3,-3,"+/- 3",3,12,3,"mg/L","U",NA,"23-OCT-2019 09:47","73234003","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Outgoing tide. Calm water. Clear sky with few clouds. Plentiful sunshine. Light 2-5 mph East wind. Temp 82F.",NA
"CES02",13,"CESWQ","P46500-2",NA,2010-01-26 08:40:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","27-JAN-2010 15:40",39,39,"",1,4,1,"PCU","",NA,"27-JAN-2010 12:08","20669002","FWEC","WMD","WMD",2,"WMD","BA","CA",NA,NA,NA,NA,"",0,NA,1,0,1,"MON",0,"Low flow at station.  No chop.  No wind.  Sample light yellow, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",61,"CESWQ","P46500-2",NA,2010-01-26 08:40:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A",49128,"SM10200H","11-FEB-2010 12:23",8,8,"",1,4,1,"mg/m^3","",NA,"27-JAN-2010 12:08","20669002","FWEC","WMD","WMD",2,"WMD","BA","CA",NA,NA,NA,NA,"",0,NA,1,0,1,"MON",1,"Low flow at station.  No chop.  No wind.  Sample light yellow, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",13,"CESWQ","P104394-9",NA,2019-05-15 08:20:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","16-MAY-2019 14:34",51,51,"+/- 9",1,4,1,"PCU","",NA,"16-MAY-2019 10:18","70498009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",0,"Calm, slack tide. Cloudy, little to no wind 1-2 mph, temperature in mid-70s F.",NA
"CES02",16,"CESWQ","P49720-2",NA,2010-10-27 08:20:00,"SAMP","G",0.5,"m","SA","TOTAL SUSPENDED SOLIDS",530,"SM 2540 D","29-OCT-2010 09:21",-3,-3,"",3,12,3,"mg/L","U",NA,"28-OCT-2010 09:40","24896002","FWEC","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,1,0,1,"MON",1,"Low flow at station.  No chop.  No wind.  Sample light yellowish brown, low solids.  PAR:  Clear sky, 100% sun.",NA
"CES02",11,"CESWQ","P87449-8",NA,2017-02-14 14:25:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",78,"SFWMD-FSQM","14-FEB-2017 14:25",0.7,0.7,"",NA,NA,NA,"meters","",NA,"15-FEB-2017 09:05","59212008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",2,"",NA
"CES02",98,"CESWQ","P107670-9",NA,2019-08-21 09:25:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"SFWMD-FSQM","21-AUG-2019 09:28",0.19,0.2,"",NA,NA,NA,"PSU","",NA,"22-AUG-2019 09:36","71919009","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",1,"Calm, outgoing tide, mostly sunny, wind 1-3 mph, temperature in mid 80s F. P107719 is associated with this trip.",NA
"CES02",11,"CESWQ","P76128-8",NA,2015-07-21 12:41:00,"SAMP","G",0.5,"m","SA","SECCHI DISK DEPTH",78,"SFWMD-FSQM","21-JUL-2015 12:41",0.6,0.6,"",NA,NA,NA,"meters","",NA,"22-JUL-2015 10:27","49486008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,2,"MON",2,"slack tide smooth seas light west wind",NA
"CES02",179,"CESWQ","P60167-2",NA,2012-12-18 13:46:00,"SAMP","G",0.5,"m","SA","CHLOROPHYLL-A(LC)",98011,"EPA 447.0","27-DEC-2012 18:58",4.36,4.36,"+/- 0.275",0.053,0.213,0.053,"ug/L","",NA,"19-DEC-2012 10:10","38082002","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",NA,"",NA
"CES02",13,"CESWQ","P76125-8",NA,2015-01-21 13:38:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","22-JAN-2015 14:31",70,70,"+/- 12",1,4,1,"PCU","",NA,"22-JAN-2015 12:39","49483008","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",0,"incoming tide smooth seas ne winds light",NA
"CES02",13,"CESWQ","P107671-9",NA,2019-09-24 08:18:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","25-SEP-2019 14:02",143,143,"+/- 26",1,4,1,"PCU","",NA,"25-SEP-2019 10:22","71920009","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,0,"MON",0,"Still. Calm. Flood tide.",NA
"CES02",98,"CESWQ","P87449-8",NA,2017-02-14 14:25:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"SFWMD-FSQM","14-FEB-2017 14:29",1.3,1.3,"",NA,NA,NA,"PSU","",NA,"15-FEB-2017 09:05","59212008","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,1,"MON",1,"",NA
"CES02",98,"CESWQ","P62970-13",NA,2013-06-18 14:34:00,"SAMP","G",0.5,"m","SA","SALINITY",480,"","18-JUN-2013 14:41",0.25,0.2,"",NA,NA,NA,"PSU","",NA,"19-JUN-2013 11:58","40059013","WMD","FLD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",1,"outgoing tide, wind <5 SSE, flat, 80+ temp, medium overcast",NA
"CES02",12,"CESWQ","P55417-1",NA,2012-07-17 12:05:00,"SAMP","G",0.5,"m","SA","TURBIDITY",82079,"SM2130B","19-JUL-2012 06:39",2.5,2.5,"+/- 0.2",0.1,0.4,0.1,"NTU","",NA,"18-JUL-2012 10:04","32385001","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,6,"MON",1,"",NA
"CES02",13,"CESWQ","P60167-2",NA,2012-12-18 13:46:00,"SAMP","G",0.5,"m","SA","COLOR",80,"SM2120C","19-DEC-2012 14:05",85,85,"+/- 9",1,4,1,"PCU","",NA,"19-DEC-2012 10:10","38082002","WMD","WMD","WMD",2,"WMD","BA","NO",NA,NA,NA,NA,"",3,NA,0,0,3,"MON",0,"",NA
